userid,version,monthly_bill,conversion,retention
116,oneclick,3,FALSE,FALSE
337,oneclick,38,TRUE,FALSE
377,old,165,TRUE,FALSE
483,old,1,FALSE,FALSE
488,old,179,TRUE,TRUE
540,old,187,TRUE,TRUE
1066,oneclick,0,FALSE,FALSE
1444,old,2,FALSE,FALSE
1574,old,108,TRUE,TRUE
1587,old,153,TRUE,FALSE
1842,old,3,FALSE,TRUE
2101,oneclick,0,FALSE,FALSE
2132,old,30,TRUE,FALSE
2179,oneclick,39,TRUE,FALSE
2218,oneclick,305,TRUE,TRUE
2382,oneclick,73,TRUE,FALSE
2392,oneclick,14,TRUE,FALSE
2451,oneclick,204,TRUE,TRUE
2482,oneclick,108,TRUE,TRUE
2502,old,1,FALSE,FALSE
2530,old,9,TRUE,FALSE
2534,oneclick,5,TRUE,FALSE
2695,old,45,TRUE,FALSE
2729,oneclick,105,FALSE,TRUE
2829,oneclick,4,FALSE,FALSE
2963,oneclick,3,FALSE,FALSE
3095,oneclick,0,FALSE,FALSE
3132,old,80,TRUE,TRUE
3186,old,4,FALSE,FALSE
3199,oneclick,5,FALSE,FALSE
3204,old,53,TRUE,TRUE
3413,oneclick,37,TRUE,FALSE
3690,oneclick,13,TRUE,FALSE
3696,oneclick,50,FALSE,FALSE
3993,old,202,TRUE,TRUE
4076,old,0,FALSE,FALSE
4162,oneclick,23,FALSE,FALSE
4176,oneclick,0,FALSE,FALSE
4283,oneclick,103,FALSE,FALSE
4594,oneclick,27,FALSE,FALSE
4653,old,15,FALSE,FALSE
4881,oneclick,0,FALSE,FALSE
4902,old,1,FALSE,FALSE
4916,old,49,TRUE,FALSE
4918,oneclick,7,FALSE,FALSE
4929,oneclick,386,TRUE,TRUE
4945,old,25,TRUE,FALSE
5066,oneclick,1,FALSE,FALSE
5215,oneclick,13,TRUE,FALSE
5286,oneclick,12,TRUE,FALSE
5345,old,6,FALSE,FALSE
5479,oneclick,25,TRUE,FALSE
5550,oneclick,29,TRUE,FALSE
5661,oneclick,136,TRUE,FALSE
5712,oneclick,105,TRUE,TRUE
5920,old,10,TRUE,FALSE
5943,old,76,FALSE,FALSE
6099,old,138,FALSE,FALSE
6123,oneclick,0,FALSE,FALSE
6151,oneclick,94,TRUE,TRUE
6156,old,1,FALSE,FALSE
6492,oneclick,0,FALSE,FALSE
6664,old,26,TRUE,FALSE
6695,old,127,TRUE,FALSE
6833,old,6,FALSE,FALSE
6842,old,4,FALSE,FALSE
6924,oneclick,21,FALSE,FALSE
6930,old,297,TRUE,TRUE
7124,old,108,TRUE,TRUE
7253,oneclick,45,TRUE,FALSE
7321,old,33,FALSE,FALSE
7509,old,0,FALSE,FALSE
7527,oneclick,80,FALSE,FALSE
7564,oneclick,21,FALSE,FALSE
7582,old,3,FALSE,FALSE
7767,oneclick,139,TRUE,TRUE
7866,oneclick,14,FALSE,FALSE
8063,oneclick,50,TRUE,FALSE
8254,old,14,FALSE,FALSE
8256,old,14,FALSE,FALSE
8288,oneclick,9,FALSE,FALSE
8317,old,3,FALSE,FALSE
8379,oneclick,0,FALSE,FALSE
8464,oneclick,10,FALSE,FALSE
8465,old,4,FALSE,FALSE
8494,oneclick,5,TRUE,FALSE
8644,oneclick,2,FALSE,FALSE
8679,oneclick,0,FALSE,FALSE
8692,oneclick,3,TRUE,FALSE
8753,old,10,TRUE,FALSE
8788,oneclick,19,FALSE,TRUE
8801,old,0,FALSE,FALSE
8885,old,5,FALSE,FALSE
9001,old,16,TRUE,FALSE
9308,old,95,TRUE,FALSE
9443,old,3,FALSE,FALSE
9589,oneclick,8,FALSE,FALSE
9699,old,8,FALSE,FALSE
9828,old,1,FALSE,FALSE
9831,old,3,FALSE,FALSE
9849,old,1,FALSE,FALSE
10112,oneclick,6,FALSE,FALSE
10200,old,106,FALSE,TRUE
10218,oneclick,22,TRUE,FALSE
10276,old,1,FALSE,FALSE
10336,oneclick,11,FALSE,FALSE
10476,old,4,FALSE,FALSE
10533,old,21,FALSE,FALSE
10598,old,8,FALSE,FALSE
10636,oneclick,246,TRUE,TRUE
10637,old,0,FALSE,FALSE
10676,old,6,FALSE,FALSE
10756,oneclick,16,FALSE,FALSE
10884,old,49,TRUE,FALSE
11093,old,54,TRUE,TRUE
11127,oneclick,66,TRUE,TRUE
11297,oneclick,0,FALSE,FALSE
11411,oneclick,122,TRUE,TRUE
11420,oneclick,75,TRUE,FALSE
11599,oneclick,3,FALSE,FALSE
11675,old,17,FALSE,FALSE
11747,oneclick,1,TRUE,FALSE
11840,oneclick,24,FALSE,FALSE
11886,oneclick,3,FALSE,FALSE
12053,oneclick,11,TRUE,FALSE
12067,old,7,FALSE,FALSE
12163,oneclick,47,TRUE,FALSE
12393,old,1,FALSE,FALSE
12461,old,4,FALSE,FALSE
12523,oneclick,31,TRUE,FALSE
12558,oneclick,13,FALSE,FALSE
12574,oneclick,22,TRUE,FALSE
