user_id,session_count,avg_session_duration,pageviews_per_session,days_since_last_visit,feature_usage_rate,clicks_on_premium_content,referral_source,state,device_type,number_of_visits_last_week,number_of_visits_last_30_days,messages_sent_count,messages_received_count,posts_count,reactions_count,community_sessions_count,number_of_trainings_watched,number_of_trainings_finished,daily_steps,daily_workout_minutes,subscription_status
1,9,18.058378014353607,2,18,0.7860077605388255,6,ad,New York,mobile,2,8,3,6,1,5,8,8,3,5113,28,0
2,13,20.352633601474913,7,23,0.16472653337884013,1,referral,New York,mobile,2,11,2,3,2,8,8,11,5,4906,31,0
3,17,51.80929897264869,4,9,0.40051522406037154,3,ad,Illinois,mobile,4,13,5,3,4,7,9,6,6,4979,33,0
4,14,54.85852600220816,4,16,0.19520044665768232,5,ad,Florida,desktop,3,13,2,3,1,5,8,6,6,4911,31,1
5,7,22.44592867140946,7,14,0.40586125599866285,2,ad,Florida,desktop,3,16,1,4,1,10,4,5,5,4959,31,0
6,17,54.32758590466412,4,15,0.48329698514018393,3,organic,California,desktop,4,9,5,4,2,13,6,5,5,4932,22,1
7,15,48.12101928410809,6,1,0.003360008072612053,2,organic,New York,desktop,3,11,8,4,1,10,8,6,6,4983,26,0
8,15,18.8035838306944,6,16,0.3610288756340726,7,ad,Texas,mobile,5,9,5,1,0,7,11,5,5,5128,32,1
9,12,32.90227304159429,7,1,0.07255569462337819,3,referral,California,tablet,1,9,6,4,1,7,4,1,1,4996,38,0
10,19,38.49147575105208,1,1,0.25867547148444703,3,ad,Texas,desktop,4,15,3,10,3,14,7,6,3,4984,36,0
11,19,17.781692519699174,5,5,0.34896601620536283,4,referral,Illinois,mobile,3,10,10,4,1,9,10,5,3,4974,24,0
12,10,57.00505369502695,2,26,0.7970406808994411,4,referral,New York,mobile,3,12,7,4,1,12,9,7,7,4894,26,0
13,19,45.56251335056749,3,26,0.7943925663599404,5,ad,Illinois,desktop,5,7,6,7,3,8,8,15,3,4987,22,1
14,23,52.01845217944081,4,10,0.03542304500608884,5,organic,New York,tablet,3,9,5,5,3,9,12,8,4,5103,25,0
15,13,49.06103133427049,2,24,0.8084310291004082,4,ad,Florida,mobile,4,12,4,2,1,12,12,6,4,4993,32,1
16,16,36.70099280191111,5,28,0.5279105363996249,3,ad,Florida,desktop,3,8,8,4,2,6,7,10,7,4924,27,1
17,16,16.222862618378024,2,13,0.5810468669823431,1,organic,Texas,tablet,6,7,3,4,1,19,10,10,8,5007,23,1
18,11,59.29059452211623,7,26,0.6931834010758081,4,ad,California,tablet,0,9,4,6,0,14,7,8,5,5102,30,1
19,17,36.810546672217825,1,12,0.5505022794897165,4,referral,Illinois,desktop,3,9,2,5,4,13,9,10,4,5080,32,0
20,13,31.533071332201793,3,16,0.5490478671443729,2,ad,New York,tablet,0,17,3,4,4,11,10,9,3,4962,39,0
21,8,41.688405291236734,5,10,0.30591463079711567,3,referral,Florida,mobile,2,4,4,2,1,7,6,6,5,4964,38,0
22,14,59.614545283090905,0,16,0.5152980324435892,7,referral,Texas,tablet,4,12,3,5,2,10,8,8,3,4960,21,1
23,16,49.94061048979079,7,9,0.2723635698147501,2,referral,New York,desktop,2,12,3,3,3,12,13,8,8,4961,26,0
24,20,36.03469569819633,1,9,0.10762565118799039,1,organic,New York,tablet,1,9,6,7,2,9,6,11,6,5181,20,0
25,15,33.43326377895792,6,5,0.1399147360212114,3,referral,California,desktop,2,15,1,5,1,15,7,12,8,4941,28,0
26,9,15.466724421036947,4,7,0.6126399254749425,5,ad,New York,tablet,5,9,4,6,3,8,6,5,5,5053,38,1
27,22,54.73938800000315,7,21,0.41310275872331637,6,ad,New York,mobile,2,7,3,3,2,10,9,7,4,5053,29,0
28,22,39.20300509531881,3,15,0.6457916917548717,3,organic,Illinois,desktop,3,8,4,3,1,10,11,3,3,4919,34,0
29,22,59.509929549218086,8,20,0.9757337199366779,3,ad,Florida,mobile,4,7,8,2,4,4,4,8,7,4904,29,1
